Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
viralrecon,exponential,0.1,40,0,MINMIN,518.56,0, 12, 26, 13, 3, 16, 3, 0, 0, 9, 4, 6, 15, 0, 2, 49, 0, 7, 0, 2, 15, 6, 5, 6, 0, 0, 7,{c5.2xlarge=0; c5.xlarge=12; c5a.2xlarge=26; c5a.xlarge=13; d3.2xlarge=3; d3.xlarge=16; i3.2xlarge=3; i3.large=0; i3.xlarge=0; m5.2xlarge=9; m5.large=4; m5.xlarge=6; m5a.2xlarge=15; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=49; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=0; r5.large=2; r5.xlarge=15; r5a.2xlarge=6; r5a.large=5; r5a.xlarge=6; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=7},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
viralrecon,exponential,0.1,40,25,STATIC,713.5499999999997,17, 11, 6, 10, 51, 0, 1, 0, 0, 14, 0, 3, 4, 0, 0, 16, 36, 11, 1, 2, 1, 0, 0, 0, 0, 11, 10,{c5.2xlarge=17; c5.xlarge=11; c5a.2xlarge=6; c5a.xlarge=10; d3.2xlarge=51; d3.xlarge=0; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=14; m5.large=0; m5.xlarge=3; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=16; m5zn.large=36; m5zn.xlarge=11; r5.2xlarge=1; r5.large=2; r5.xlarge=1; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=11; z1d.xlarge=10},{c5.2xlarge=3; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=1; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=1; m5.large=1; m5.xlarge=1; m5a.2xlarge=3; m5a.large=1; m5a.xlarge=2; m5zn.2xlarge=1; m5zn.large=3; m5zn.xlarge=3; r5.2xlarge=3; r5.large=1; r5.xlarge=1; r5a.2xlarge=1; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=3}
viralrecon,exponential,0.1,40,25,NOML,326.3499999999999,14, 13, 8, 4, 7, 0, 2, 6, 0, 5, 5, 8, 4, 8, 10, 8, 23, 15, 8, 9, 7, 10, 0, 0, 0, 19, 12,{c5.2xlarge=14; c5.xlarge=13; c5a.2xlarge=8; c5a.xlarge=4; d3.2xlarge=7; d3.xlarge=0; i3.2xlarge=2; i3.large=6; i3.xlarge=0; m5.2xlarge=5; m5.large=5; m5.xlarge=8; m5a.2xlarge=4; m5a.large=8; m5a.xlarge=10; m5zn.2xlarge=8; m5zn.large=23; m5zn.xlarge=15; r5.2xlarge=8; r5.large=9; r5.xlarge=7; r5a.2xlarge=10; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=19; z1d.xlarge=12},{c5.2xlarge=3; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=1; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=1; m5.large=1; m5.xlarge=1; m5a.2xlarge=3; m5a.large=1; m5a.xlarge=2; m5zn.2xlarge=1; m5zn.large=3; m5zn.xlarge=3; r5.2xlarge=3; r5.large=1; r5.xlarge=1; r5a.2xlarge=1; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=3}
viralrecon,exponential,0.1,40,25,CUSTOMCLUSTERNOML,338.57999999999987,15, 12, 8, 7, 7, 0, 5, 6, 0, 8, 6, 9, 8, 10, 6, 5, 10, 21, 21, 7, 5, 4, 0, 0, 0, 9, 16,{c5.2xlarge=15; c5.xlarge=12; c5a.2xlarge=8; c5a.xlarge=7; d3.2xlarge=7; d3.xlarge=0; i3.2xlarge=5; i3.large=6; i3.xlarge=0; m5.2xlarge=8; m5.large=6; m5.xlarge=9; m5a.2xlarge=8; m5a.large=10; m5a.xlarge=6; m5zn.2xlarge=5; m5zn.large=10; m5zn.xlarge=21; r5.2xlarge=21; r5.large=7; r5.xlarge=5; r5a.2xlarge=4; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=9; z1d.xlarge=16},{c5.2xlarge=3; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=1; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=1; m5.large=1; m5.xlarge=1; m5a.2xlarge=3; m5a.large=1; m5a.xlarge=2; m5zn.2xlarge=1; m5zn.large=3; m5zn.xlarge=3; r5.2xlarge=3; r5.large=1; r5.xlarge=1; r5a.2xlarge=1; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=3}
viralrecon,exponential,0.1,40,25,TEXTDISTANCE,534.5099999999999,23, 12, 9, 8, 8, 0, 8, 10, 0, 12, 14, 6, 11, 4, 12, 3, 9, 13, 5, 5, 7, 4, 0, 0, 0, 10, 13,{c5.2xlarge=23; c5.xlarge=12; c5a.2xlarge=9; c5a.xlarge=8; d3.2xlarge=8; d3.xlarge=0; i3.2xlarge=8; i3.large=10; i3.xlarge=0; m5.2xlarge=12; m5.large=14; m5.xlarge=6; m5a.2xlarge=11; m5a.large=4; m5a.xlarge=12; m5zn.2xlarge=3; m5zn.large=9; m5zn.xlarge=13; r5.2xlarge=5; r5.large=5; r5.xlarge=7; r5a.2xlarge=4; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=10; z1d.xlarge=13},{c5.2xlarge=3; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=1; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=1; m5.large=1; m5.xlarge=1; m5a.2xlarge=3; m5a.large=1; m5a.xlarge=2; m5zn.2xlarge=1; m5zn.large=3; m5zn.xlarge=3; r5.2xlarge=3; r5.large=1; r5.xlarge=1; r5a.2xlarge=1; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=3}
viralrecon,exponential,0.1,40,25,CRITICALPATH,529.14,13, 12, 6, 10, 4, 0, 11, 7, 0, 3, 6, 5, 7, 7, 3, 7, 30, 15, 9, 6, 5, 7, 0, 0, 0, 19, 14,{c5.2xlarge=13; c5.xlarge=12; c5a.2xlarge=6; c5a.xlarge=10; d3.2xlarge=4; d3.xlarge=0; i3.2xlarge=11; i3.large=7; i3.xlarge=0; m5.2xlarge=3; m5.large=6; m5.xlarge=5; m5a.2xlarge=7; m5a.large=7; m5a.xlarge=3; m5zn.2xlarge=7; m5zn.large=30; m5zn.xlarge=15; r5.2xlarge=9; r5.large=6; r5.xlarge=5; r5a.2xlarge=7; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=19; z1d.xlarge=14},{c5.2xlarge=3; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=1; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=1; m5.large=1; m5.xlarge=1; m5a.2xlarge=3; m5a.large=1; m5a.xlarge=2; m5zn.2xlarge=1; m5zn.large=3; m5zn.xlarge=3; r5.2xlarge=3; r5.large=1; r5.xlarge=1; r5a.2xlarge=1; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=3}
viralrecon,exponential,0.1,40,25,CRITICALPATHREVERSE,385.32999999999987,23, 8, 11, 12, 4, 0, 3, 2, 0, 6, 10, 6, 7, 4, 9, 3, 26, 16, 5, 5, 12, 6, 0, 0, 0, 17, 11,{c5.2xlarge=23; c5.xlarge=8; c5a.2xlarge=11; c5a.xlarge=12; d3.2xlarge=4; d3.xlarge=0; i3.2xlarge=3; i3.large=2; i3.xlarge=0; m5.2xlarge=6; m5.large=10; m5.xlarge=6; m5a.2xlarge=7; m5a.large=4; m5a.xlarge=9; m5zn.2xlarge=3; m5zn.large=26; m5zn.xlarge=16; r5.2xlarge=5; r5.large=5; r5.xlarge=12; r5a.2xlarge=6; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=17; z1d.xlarge=11},{c5.2xlarge=3; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=1; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=1; m5.large=1; m5.xlarge=1; m5a.2xlarge=3; m5a.large=1; m5a.xlarge=2; m5zn.2xlarge=1; m5zn.large=3; m5zn.xlarge=3; r5.2xlarge=3; r5.large=1; r5.xlarge=1; r5a.2xlarge=1; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=3}
viralrecon,exponential,0.1,40,25,RESHIV2,348.4499999999999,24, 5, 7, 10, 9, 0, 7, 6, 0, 6, 4, 8, 8, 5, 5, 3, 22, 8, 6, 6, 5, 9, 0, 0, 0, 24, 18,{c5.2xlarge=24; c5.xlarge=5; c5a.2xlarge=7; c5a.xlarge=10; d3.2xlarge=9; d3.xlarge=0; i3.2xlarge=7; i3.large=6; i3.xlarge=0; m5.2xlarge=6; m5.large=4; m5.xlarge=8; m5a.2xlarge=8; m5a.large=5; m5a.xlarge=5; m5zn.2xlarge=3; m5zn.large=22; m5zn.xlarge=8; r5.2xlarge=6; r5.large=6; r5.xlarge=5; r5a.2xlarge=9; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=24; z1d.xlarge=18},{c5.2xlarge=3; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=1; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=1; m5.large=1; m5.xlarge=1; m5a.2xlarge=3; m5a.large=1; m5a.xlarge=2; m5zn.2xlarge=1; m5zn.large=3; m5zn.xlarge=3; r5.2xlarge=3; r5.large=1; r5.xlarge=1; r5a.2xlarge=1; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=3}
viralrecon,exponential,0.1,40,25,RESHIV3,548.8299999999999,15, 12, 14, 8, 8, 0, 5, 11, 0, 5, 4, 3, 8, 7, 8, 7, 21, 9, 5, 8, 5, 7, 0, 0, 0, 20, 15,{c5.2xlarge=15; c5.xlarge=12; c5a.2xlarge=14; c5a.xlarge=8; d3.2xlarge=8; d3.xlarge=0; i3.2xlarge=5; i3.large=11; i3.xlarge=0; m5.2xlarge=5; m5.large=4; m5.xlarge=3; m5a.2xlarge=8; m5a.large=7; m5a.xlarge=8; m5zn.2xlarge=7; m5zn.large=21; m5zn.xlarge=9; r5.2xlarge=5; r5.large=8; r5.xlarge=5; r5a.2xlarge=7; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=20; z1d.xlarge=15},{c5.2xlarge=3; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=1; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=1; m5.large=1; m5.xlarge=1; m5a.2xlarge=3; m5a.large=1; m5a.xlarge=2; m5zn.2xlarge=1; m5zn.large=3; m5zn.xlarge=3; r5.2xlarge=3; r5.large=1; r5.xlarge=1; r5a.2xlarge=1; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=3}
viralrecon,exponential,0.1,40,25,RESHIMAX,351.72999999999985,18, 11, 4, 12, 10, 0, 6, 7, 0, 7, 3, 5, 10, 5, 5, 8, 22, 14, 11, 6, 3, 6, 0, 0, 0, 17, 15,{c5.2xlarge=18; c5.xlarge=11; c5a.2xlarge=4; c5a.xlarge=12; d3.2xlarge=10; d3.xlarge=0; i3.2xlarge=6; i3.large=7; i3.xlarge=0; m5.2xlarge=7; m5.large=3; m5.xlarge=5; m5a.2xlarge=10; m5a.large=5; m5a.xlarge=5; m5zn.2xlarge=8; m5zn.large=22; m5zn.xlarge=14; r5.2xlarge=11; r5.large=6; r5.xlarge=3; r5a.2xlarge=6; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=17; z1d.xlarge=15},{c5.2xlarge=3; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=1; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=1; m5.large=1; m5.xlarge=1; m5a.2xlarge=3; m5a.large=1; m5a.xlarge=2; m5zn.2xlarge=1; m5zn.large=3; m5zn.xlarge=3; r5.2xlarge=3; r5.large=1; r5.xlarge=1; r5a.2xlarge=1; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=3}
viralrecon,exponential,0.1,40,25,RESHIFCFS,349.93999999999994,19, 11, 9, 7, 7, 0, 6, 4, 0, 2, 6, 5, 6, 6, 8, 11, 24, 17, 10, 9, 10, 5, 0, 0, 0, 13, 11,{c5.2xlarge=19; c5.xlarge=11; c5a.2xlarge=9; c5a.xlarge=7; d3.2xlarge=7; d3.xlarge=0; i3.2xlarge=6; i3.large=4; i3.xlarge=0; m5.2xlarge=2; m5.large=6; m5.xlarge=5; m5a.2xlarge=6; m5a.large=6; m5a.xlarge=8; m5zn.2xlarge=11; m5zn.large=24; m5zn.xlarge=17; r5.2xlarge=10; r5.large=9; r5.xlarge=10; r5a.2xlarge=5; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=13; z1d.xlarge=11},{c5.2xlarge=3; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=1; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=1; m5.large=1; m5.xlarge=1; m5a.2xlarge=3; m5a.large=1; m5a.xlarge=2; m5zn.2xlarge=1; m5zn.large=3; m5zn.xlarge=3; r5.2xlarge=3; r5.large=1; r5.xlarge=1; r5a.2xlarge=1; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=3}
viralrecon,exponential,0.1,40,26,MINMIN,669.9499999999999,27, 7, 10, 0, 10, 6, 1, 0, 0, 9, 0, 12, 0, 7, 0, 0, 0, 38, 7, 30, 10, 1, 3, 0, 10, 9, 9,{c5.2xlarge=27; c5.xlarge=7; c5a.2xlarge=10; c5a.xlarge=0; d3.2xlarge=10; d3.xlarge=6; i3.2xlarge=1; i3.large=0; i3.xlarge=0; m5.2xlarge=9; m5.large=0; m5.xlarge=12; m5a.2xlarge=0; m5a.large=7; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=38; r5.2xlarge=7; r5.large=30; r5.xlarge=10; r5a.2xlarge=1; r5a.large=3; r5a.xlarge=0; z1d.2xlarge=10; z1d.large=9; z1d.xlarge=9},{c5.2xlarge=2; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=3; i3.2xlarge=2; i3.large=1; i3.xlarge=1; m5.2xlarge=2; m5.large=0; m5.xlarge=2; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=2; r5.large=1; r5.xlarge=4; r5a.2xlarge=3; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=1; z1d.xlarge=1}
viralrecon,exponential,0.1,40,26,MAXMIN,569.6599999999999,25, 7, 13, 0, 18, 9, 5, 0, 3, 7, 0, 11, 1, 12, 1, 0, 0, 40, 6, 1, 12, 6, 0, 0, 2, 18, 8,{c5.2xlarge=25; c5.xlarge=7; c5a.2xlarge=13; c5a.xlarge=0; d3.2xlarge=18; d3.xlarge=9; i3.2xlarge=5; i3.large=0; i3.xlarge=3; m5.2xlarge=7; m5.large=0; m5.xlarge=11; m5a.2xlarge=1; m5a.large=12; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=40; r5.2xlarge=6; r5.large=1; r5.xlarge=12; r5a.2xlarge=6; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=2; z1d.large=18; z1d.xlarge=8},{c5.2xlarge=2; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=3; i3.2xlarge=2; i3.large=1; i3.xlarge=1; m5.2xlarge=2; m5.large=0; m5.xlarge=2; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=2; r5.large=1; r5.xlarge=4; r5a.2xlarge=3; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=1; z1d.xlarge=1}
viralrecon,exponential,0.1,40,26,MCT,668.2599999999999,26, 9, 7, 0, 3, 9, 6, 1, 0, 9, 0, 9, 2, 8, 1, 0, 0, 27, 2, 29, 14, 4, 3, 0, 10, 19, 7,{c5.2xlarge=26; c5.xlarge=9; c5a.2xlarge=7; c5a.xlarge=0; d3.2xlarge=3; d3.xlarge=9; i3.2xlarge=6; i3.large=1; i3.xlarge=0; m5.2xlarge=9; m5.large=0; m5.xlarge=9; m5a.2xlarge=2; m5a.large=8; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=27; r5.2xlarge=2; r5.large=29; r5.xlarge=14; r5a.2xlarge=4; r5a.large=3; r5a.xlarge=0; z1d.2xlarge=10; z1d.large=19; z1d.xlarge=7},{c5.2xlarge=2; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=3; i3.2xlarge=2; i3.large=1; i3.xlarge=1; m5.2xlarge=2; m5.large=0; m5.xlarge=2; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=2; r5.large=1; r5.xlarge=4; r5a.2xlarge=3; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=1; z1d.xlarge=1}
viralrecon,exponential,0.1,40,26,ROUNDROBIN,457.40999999999985,25, 11, 6, 0, 9, 8, 0, 0, 0, 17, 0, 6, 0, 5, 3, 0, 0, 15, 0, 42, 10, 13, 0, 0, 5, 26, 2,{c5.2xlarge=25; c5.xlarge=11; c5a.2xlarge=6; c5a.xlarge=0; d3.2xlarge=9; d3.xlarge=8; i3.2xlarge=0; i3.large=0; i3.xlarge=0; m5.2xlarge=17; m5.large=0; m5.xlarge=6; m5a.2xlarge=0; m5a.large=5; m5a.xlarge=3; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=15; r5.2xlarge=0; r5.large=42; r5.xlarge=10; r5a.2xlarge=13; r5a.large=0; r5a.xlarge=0; z1d.2xlarge=5; z1d.large=26; z1d.xlarge=2},{c5.2xlarge=2; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=3; i3.2xlarge=2; i3.large=1; i3.xlarge=1; m5.2xlarge=2; m5.large=0; m5.xlarge=2; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=2; r5.large=1; r5.xlarge=4; r5a.2xlarge=3; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=1; z1d.xlarge=1}
viralrecon,exponential,0.1,40,26,STATIC,831.1999999999998,9, 5, 3, 0, 0, 7, 3, 0, 1, 9, 0, 9, 0, 4, 0, 0, 0, 48, 11, 61, 9, 0, 3, 0, 7, 13, 3,{c5.2xlarge=9; c5.xlarge=5; c5a.2xlarge=3; c5a.xlarge=0; d3.2xlarge=0; d3.xlarge=7; i3.2xlarge=3; i3.large=0; i3.xlarge=1; m5.2xlarge=9; m5.large=0; m5.xlarge=9; m5a.2xlarge=0; m5a.large=4; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=48; r5.2xlarge=11; r5.large=61; r5.xlarge=9; r5a.2xlarge=0; r5a.large=3; r5a.xlarge=0; z1d.2xlarge=7; z1d.large=13; z1d.xlarge=3},{c5.2xlarge=2; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=3; i3.2xlarge=2; i3.large=1; i3.xlarge=1; m5.2xlarge=2; m5.large=0; m5.xlarge=2; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=2; r5.large=1; r5.xlarge=4; r5a.2xlarge=3; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=1; z1d.xlarge=1}
viralrecon,exponential,0.1,40,26,NOML,365.6899999999998,11, 12, 6, 0, 9, 12, 6, 9, 7, 11, 0, 14, 12, 8, 4, 0, 0, 23, 8, 8, 7, 6, 7, 0, 6, 7, 12,{c5.2xlarge=11; c5.xlarge=12; c5a.2xlarge=6; c5a.xlarge=0; d3.2xlarge=9; d3.xlarge=12; i3.2xlarge=6; i3.large=9; i3.xlarge=7; m5.2xlarge=11; m5.large=0; m5.xlarge=14; m5a.2xlarge=12; m5a.large=8; m5a.xlarge=4; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=23; r5.2xlarge=8; r5.large=8; r5.xlarge=7; r5a.2xlarge=6; r5a.large=7; r5a.xlarge=0; z1d.2xlarge=6; z1d.large=7; z1d.xlarge=12},{c5.2xlarge=2; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=3; i3.2xlarge=2; i3.large=1; i3.xlarge=1; m5.2xlarge=2; m5.large=0; m5.xlarge=2; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=2; r5.large=1; r5.xlarge=4; r5a.2xlarge=3; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=1; z1d.xlarge=1}
viralrecon,exponential,0.1,40,26,CUSTOMCLUSTERNOML,371.71,9, 13, 7, 0, 12, 14, 8, 8, 8, 8, 0, 11, 7, 7, 5, 0, 0, 28, 16, 5, 7, 8, 6, 0, 3, 8, 7,{c5.2xlarge=9; c5.xlarge=13; c5a.2xlarge=7; c5a.xlarge=0; d3.2xlarge=12; d3.xlarge=14; i3.2xlarge=8; i3.large=8; i3.xlarge=8; m5.2xlarge=8; m5.large=0; m5.xlarge=11; m5a.2xlarge=7; m5a.large=7; m5a.xlarge=5; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=28; r5.2xlarge=16; r5.large=5; r5.xlarge=7; r5a.2xlarge=8; r5a.large=6; r5a.xlarge=0; z1d.2xlarge=3; z1d.large=8; z1d.xlarge=7},{c5.2xlarge=2; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=3; i3.2xlarge=2; i3.large=1; i3.xlarge=1; m5.2xlarge=2; m5.large=0; m5.xlarge=2; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=2; r5.large=1; r5.xlarge=4; r5a.2xlarge=3; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=1; z1d.xlarge=1}
viralrecon,exponential,0.1,40,26,TEXTDISTANCE,477.5799999999998,16, 10, 8, 0, 7, 9, 11, 7, 5, 7, 0, 12, 8, 6, 6, 0, 0, 23, 4, 12, 16, 10, 12, 0, 6, 4, 6,{c5.2xlarge=16; c5.xlarge=10; c5a.2xlarge=8; c5a.xlarge=0; d3.2xlarge=7; d3.xlarge=9; i3.2xlarge=11; i3.large=7; i3.xlarge=5; m5.2xlarge=7; m5.large=0; m5.xlarge=12; m5a.2xlarge=8; m5a.large=6; m5a.xlarge=6; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=23; r5.2xlarge=4; r5.large=12; r5.xlarge=16; r5a.2xlarge=10; r5a.large=12; r5a.xlarge=0; z1d.2xlarge=6; z1d.large=4; z1d.xlarge=6},{c5.2xlarge=2; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=3; i3.2xlarge=2; i3.large=1; i3.xlarge=1; m5.2xlarge=2; m5.large=0; m5.xlarge=2; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=2; r5.large=1; r5.xlarge=4; r5a.2xlarge=3; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=1; z1d.xlarge=1}
viralrecon,exponential,0.1,40,26,CRITICALPATH,349.09,16, 14, 5, 0, 7, 13, 4, 9, 10, 10, 0, 13, 5, 6, 4, 0, 0, 29, 9, 3, 10, 6, 5, 0, 10, 8, 9,{c5.2xlarge=16; c5.xlarge=14; c5a.2xlarge=5; c5a.xlarge=0; d3.2xlarge=7; d3.xlarge=13; i3.2xlarge=4; i3.large=9; i3.xlarge=10; m5.2xlarge=10; m5.large=0; m5.xlarge=13; m5a.2xlarge=5; m5a.large=6; m5a.xlarge=4; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=29; r5.2xlarge=9; r5.large=3; r5.xlarge=10; r5a.2xlarge=6; r5a.large=5; r5a.xlarge=0; z1d.2xlarge=10; z1d.large=8; z1d.xlarge=9},{c5.2xlarge=2; c5.xlarge=2; c5a.2xlarge=1; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=3; i3.2xlarge=2; i3.large=1; i3.xlarge=1; m5.2xlarge=2; m5.large=0; m5.xlarge=2; m5a.2xlarge=2; m5a.large=2; m5a.xlarge=1; m5zn.2xlarge=0; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=2; r5.large=1; r5.xlarge=4; r5a.2xlarge=3; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=1; z1d.large=1; z1d.xlarge=1}
